id,locality,p_type,sub_type,price,bedrooms,living_area,equip_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,surface of the plot,state,facades,swim_pool
20311370,hulste,other,country-cottage,595000,3,1250,1,0,0,0,,0,,1250,22500,To renovate,4,0
20310723,brasschaat,house,villa,690000,3,190,1,0,1,1,,0,,190,947,Good,4,1
20312560,vilvoorde,house,villa,699000,4,175,1,0,1,1,100,1,400,675,975,Good,4,1
20310855,braine-lalleud,house,villa,799000,4,397,1,0,0,1,143,1,550,1090,1871,As new,4,1
20310849,braine-lalleud,house,villa,799000,4,397,1,0,0,1,143,1,550,1090,1871,As new,4,1
20296623,wanfercee-baulet,house,house,165000,2,100,1,0,0,0,,0,,100,335,To be done up,2,0
20294525,paliseul,house,house,165000,3,150,1,0,0,0,,0,,150,335,Good,3,0
20295973,gilly,house,house,195000,3,150,1,0,0,0,,1,326,476,510,Good,3,0
20295499,willebroek,house,house,205000,2,118,1,0,0,0,,1,63,181,130,To renovate,2,0
20294255,gistel,house,house,259000,5,168,0,0,0,0,,1,260,428,573,Good,0,0
20294186,tielt-8700,house,house,325000,5,216,1,0,0,0,,0,,216,396,Good,0,0
20295616,scheldewindeke,house,villa,645000,4,230,1,0,1,1,,0,,230,1100,Good,3,0
20295510,halle,house,house,689000,6,292,1,0,0,1,25,1,1050,1367,2482,Good,4,0
20257259,wavre,house,house,650000,4,262,1,0,0,1,40,1,215,517,2363,Good,4,1
20308134,gistel,house,house,189000,2,136,0,0,0,0,,1,92,228,184,To renovate,2,0
20305892,herzele,house,house,219000,3,131,0,0,0,1,,0,,131,2260,To renovate,4,0
20308132,torhout,other,bungalow,239000,3,170,0,0,0,0,,1,630,800,800,To renovate,1,0
20308641,liege-chenee,house,house,249000,3,120,1,0,0,1,20,1,65,205,145,As new,2,0
20307244,gent-gentbrugge,house,house,539000,3,140,1,0,0,1,30,0,,170,98,Just renovated,2,1
20306523,kortrijk,house,house,595000,4,211,0,0,0,0,,0,,211,236,As new,0,0
20313881,antwerpen,apartment,apartment,210000,2,93,1,0,0,1,12,0,,105,0,,2,0
20313882,antwerpen,apartment,apartment,215000,2,93,1,0,0,1,12,0,,105,0,,2,0
20313880,harelbeke,apartment,ground-floor,349000,3,114,0,0,0,1,40,1,88,242,0,Good,3,1
20313878,maldegem,house,house,309000,4,147,1,0,0,1,,0,,147,752,,3,1
20313877,kruibeke,apartment,apartment,329000,3,89,0,0,0,1,22,0,,111,0,Good,2,1
20313875,wuustwezel,house,house,649000,3,315,0,0,0,1,,0,,315,347,,3,1
20313873,mons,apartment,apartment,150000,2,80,1,0,0,1,,0,,80,0,Good,2,0
20313659,knokke-heist,apartment,apartment,699000,3,101,1,0,0,1,,0,,101,0,As new,2,1
20313871,warneton%20%28komen-waasten%29,house,house,145000,2,97,0,0,0,0,,0,,97,128,,3,0
