,Id,Locality,Type,SubType,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool,Sale_Type,Postal_Code
11752,20307755,Geraardsbergen,House,house,385000,3,165.0,False,False,False,True,13.0,True,245.0,423,295,To be done up,3,True,Private,1081
11753,20245601,Ixelles,Apartment,apartment,295000,3,126.0,True,False,False,False,0.0,True,200.0,326,0,Good,0,False,Private,1050
11754,20309025,Nivelles,Apartment,apartment,299000,2,86.0,False,False,False,False,0.0,False,0.0,86,0,To be done up,2,True,Private,8400
11755,20265644,Vorselaar,Apartment,apartment,239000,2,92.0,True,False,False,True,0.0,False,0.0,92,0,Good,2,False,Private,5537
11756,20265781,Saintnicolas,Apartment,apartment,365000,2,120.0,True,False,False,True,5.0,False,0.0,125,0,Just renovated,2,False,Private,4420
11757,20278234,Gent,House,house,349000,3,100.0,True,False,False,True,0.0,True,17.0,117,69,Good,2,False,Private,2500
11758,20277814,Geraardsbergen,House,villa,715000,4,228.0,True,False,True,True,80.0,True,1100.0,1408,1356,Good,4,False,Private,1820
11759,20308125,Ixelles,Apartment,ground-floor,265000,2,85.0,False,False,False,False,0.0,False,0.0,85,0,As new,0,False,Private,1050
11760,20308122,Deurne,Apartment,apartment,460000,2,68.0,False,False,False,False,0.0,False,0.0,68,0,Good,0,False,Private,2100
11761,20308115,Saintnicolas,House,house,455000,4,383.0,True,False,False,True,0.0,False,0.0,383,865,To be done up,4,False,Private,4420
11762,20285306,Gent,House,house,179000,4,122.0,True,False,False,True,0.0,False,0.0,122,571,To renovate,0,False,Private,9000
11763,20284033,Diegem,House,house,209000,3,140.0,True,False,False,True,0.0,False,0.0,140,354,To renovate,2,True,Private,4000
11764,20286282,Deurne,House,house,250000,3,162.0,False,False,False,True,106.0,False,0.0,268,1310,As new,3,False,Private,2100
11765,20285308,Sintlievenshoutem,House,villa,465000,4,269.0,True,False,False,True,0.0,False,0.0,269,566,Good,0,False,Private,9520
11766,20284082,Diest,House,house,485000,4,182.0,True,False,False,True,43.0,True,225.0,450,330,Good,2,True,Private,9700
11767,20285317,Ans,House,house,657800,3,201.0,False,False,False,True,25.0,False,0.0,226,1005,Good,0,False,Private,3220
11768,20250291,Oostende,Apartment,apartment,215000,1,90.0,False,False,False,True,36.0,True,215.0,341,0,Good,0,False,Private,1120
11769,20310114,Wijnegem,Apartment,apartment,219000,1,55.0,True,True,False,False,0.0,False,0.0,55,0,As new,2,True,Private,2110
11770,20252058,Ninove,Apartment,apartment,269000,1,71.0,True,False,False,True,9.0,False,0.0,80,0,Good,0,False,Private,5100
11771,20269510,Elsene,Apartment,apartment,299000,1,60.0,True,True,False,True,0.0,False,0.0,60,0,Good,0,False,Private,5170
11772,20269011,Knokkeheist,Apartment,apartment,415000,2,101.0,False,True,False,True,7.0,False,0.0,108,0,Good,2,False,Private,6010
11773,20267583,Woluwesaintlambert,Apartment,penthouse,975000,3,173.0,False,False,False,True,220.0,False,0.0,393,0,As new,0,False,Private,2850
11774,20283312,Kontich,Other,service-flat,295000,2,99.0,False,False,False,True,14.0,False,0.0,113,0,Good,0,False,Private,1140
11775,20285529,Lichtervelde,Other,service-flat,304000,2,100.0,False,False,False,True,18.0,False,0.0,118,0,Good,0,False,Private,7040
11776,20283830,Zwalm,Apartment,apartment,304000,2,100.0,False,False,False,True,18.0,False,0.0,118,0,Good,0,False,Private,4500
11777,20285194,Drogenbos,Apartment,apartment,695000,2,68.0,True,True,False,True,0.0,False,0.0,68,0,Just renovated,2,False,Private,2300
11778,20283322,Blankenberge,Apartment,apartment,750000,3,225.0,True,False,False,True,0.0,False,0.0,225,0,Just renovated,2,True,Private,4540
11779,20246955,Borgerhout,House,house,245000,3,124.0,True,False,False,True,0.0,True,269.0,393,332,Just renovated,3,False,Private,4340
11780,20288276,Brussel,House,house,259000,3,130.0,False,False,False,True,0.0,True,840.0,970,840,To be done up,3,False,Private,8530
11781,20307847,Seraingjemeppesurmeuse,House,house,385000,4,214.0,False,False,False,False,0.0,False,0.0,214,1382,Not Known,4,False,Private,4101
11782,20307843,Molenbeeksaintjean,Apartment,apartment,249000,2,85.0,True,False,False,True,0.0,False,0.0,85,0,Not Known,0,False,Private,6760
11783,20307842,Ciney,Apartment,apartment,305000,2,123.0,True,False,False,True,0.0,False,0.0,123,0,Not Known,0,False,Private,4100
11784,20307841,Elsene,House,mansion,695000,3,260.0,True,False,False,True,0.0,False,0.0,260,285,As new,2,False,Private,3470
11785,20287553,Deinze,House,villa,572500,4,252.0,True,False,False,True,0.0,False,0.0,252,728,Good,0,False,Private,2840
11786,20285809,Schaerbeek,House,house,649000,4,260.0,True,False,False,True,0.0,False,0.0,260,860,Good,0,False,Private,6767
11787,20304772,Blankenberge,Apartment,apartment,695000,2,75.0,True,False,False,True,3.0,False,0.0,78,0,As new,2,True,Private,8370
11788,20217507,Berchemsainteagathe,Apartment,apartment,245000,1,68.0,True,False,False,True,12.0,False,0.0,80,0,As new,2,True,Private,8780
11789,20265428,Berchemsainteagathe,Apartment,apartment,272000,2,211.0,True,False,False,True,0.0,False,0.0,211,0,Good,2,False,Private,8780
11790,20266820,Berchemsainteagathe,Apartment,apartment,769000,2,130.0,True,False,False,True,22.0,False,0.0,152,0,Just renovated,2,False,Private,8780
11791,20235820,Waterloo,Apartment,apartment,149000,1,48.0,True,False,False,False,0.0,False,0.0,48,0,To renovate,2,True,Private,8700
11792,20129098,Blankenberge,Apartment,apartment,220000,2,100.0,True,False,False,True,8.0,False,0.0,108,0,As new,2,True,Private,8370
11793,20041721,Aalst,Apartment,apartment,265000,2,90.0,False,False,False,True,8.0,False,0.0,98,0,Good,0,False,Private,9052
11794,20281780,Knokke,Apartment,apartment,395000,3,119.0,True,False,False,True,5.0,False,0.0,124,0,Just renovated,2,False,Private,2050
11795,20281782,Morlanwelz,Apartment,apartment,425000,3,128.0,True,False,False,True,5.0,False,0.0,133,0,Just renovated,2,False,Private,4020
11796,20297722,Roeselare,Other,country-cottage,120000,1,55.0,False,True,False,True,20.0,True,200.0,275,200,Just renovated,0,False,Private,8800
11797,20295350,Sintjansmolenbeek,Other,bungalow,120000,2,50.0,True,False,False,True,20.0,True,300.0,370,364,To be done up,4,True,Private,1080
11798,20298115,Brussels,House,house,165000,3,112.0,True,False,False,False,0.0,False,0.0,112,0,Good,2,False,Private,1000
11799,20295495,Woluwesaintpierre,House,house,190000,3,100.0,False,False,False,True,11.0,True,781.0,892,781,Good,3,False,Private,8830
11800,20296269,Drogenbos,Apartment,apartment,212000,1,84.0,True,False,False,True,11.0,False,0.0,95,0,Not Known,0,False,Private,2300
11801,20296976,Oostende,House,house,247500,2,175.0,False,False,False,False,0.0,False,0.0,175,210,Not Known,2,False,Private,8300
11802,20297152,Uccle,House,house,249000,3,187.0,False,False,False,False,0.0,False,0.0,187,471,Just renovated,0,False,Private,6000
11803,20296262,Roeselare,Apartment,apartment,267000,2,109.0,True,False,False,True,10.0,False,0.0,119,0,Not Known,0,False,Private,8800
11804,20307483,Roeselare,House,house,399000,3,240.0,True,False,False,False,0.0,True,400.0,640,848,To renovate,0,False,Private,8800
11805,20307475,Namur,House,house,159000,3,137.0,True,False,False,True,0.0,True,277.0,414,340,Good,3,True,Private,7500
11806,20307474,Lubbeek,Apartment,apartment,249000,1,0.0,False,False,False,False,0.0,False,0.0,0,0,Good,0,False,Private,3210
11807,20307473,Balen,House,house,229000,3,190.0,False,False,False,True,0.0,False,0.0,190,879,To renovate,2,False,Private,9230
11808,20307472,Brainelecomte,Apartment,apartment,250000,3,109.0,False,False,False,True,34.0,True,54.0,197,0,Not Known,2,True,Private,9100
11809,20307469,Wommelgem,Apartment,apartment,185000,1,71.0,False,False,False,True,12.0,False,0.0,83,0,Not Known,2,True,Private,7700
11810,20311718,Brainelecomte,House,house,295000,4,525.0,False,False,False,True,30.0,True,1029.0,1584,3220,To be done up,3,False,Private,9100
11811,20312412,Marke,House,house,1235000,2,110.0,False,False,False,False,0.0,False,0.0,110,134,As new,4,False,Private,2140
11812,20268649,Diegem,Apartment,apartment,238000,3,100.0,True,False,False,True,4.0,False,0.0,104,0,Good,2,False,Private,4000
11813,20269890,Diegem,Apartment,duplex,325000,1,89.0,True,False,False,True,0.0,False,0.0,89,0,Good,4,False,Private,4000
11814,20284515,Woluwesaintpierre,Apartment,apartment,225000,3,124.0,True,False,False,False,0.0,False,0.0,124,0,To be done up,0,False,Private,1150
11815,20283269,Waregem,Apartment,apartment,295000,2,99.0,False,False,False,True,14.0,False,0.0,113,0,Good,0,False,Private,8720
11816,20284519,Diest,Apartment,duplex,325000,3,158.0,True,False,False,True,46.0,False,0.0,204,0,Good,2,True,Private,9700
11817,20286896,Woluwesaintpierre,Apartment,ground-floor,332500,2,72.0,True,False,False,True,20.0,True,38.0,130,0,Good,3,True,Private,1150
11818,20285372,Blankenberge,Apartment,apartment,335000,2,70.0,True,False,False,True,0.0,False,0.0,70,0,Good,0,False,Private,3384
11819,20301013,Gosselies,Apartment,apartment,199000,1,55.0,False,False,False,True,0.0,False,0.0,55,0,As new,0,False,Private,8790
11820,20299962,Waterloo,Apartment,apartment,281000,2,89.0,True,False,False,True,0.0,False,0.0,89,0,Not Known,0,False,Private,9150
11821,20302040,Kontich,Apartment,apartment,329000,3,90.0,True,False,False,True,2.0,False,0.0,92,0,Just renovated,2,True,Private,1140
11822,20302039,Gent,Apartment,apartment,335000,2,90.0,True,False,False,True,2.0,False,0.0,92,0,As new,2,True,Private,9000
11823,11437883,Wavre,House,house,499000,4,150.0,True,False,False,True,30.0,True,600.0,780,800,Good,3,False,Private,1300
11824,20309489,Oostende,House,house,560000,4,283.0,False,False,False,True,0.0,False,0.0,283,634,As new,4,False,Private,8300
11825,20083690,Sintjansmolenbeek,Apartment,apartment,139500,1,51.0,True,False,False,True,8.0,False,0.0,59,0,To be done up,2,True,Private,1080
11826,20151621,Nivelles,Apartment,apartment,139900,1,50.0,False,False,False,True,2.0,False,0.0,52,0,To be done up,3,False,Private,1400
11827,20105266,Ixelles,Apartment,flat-studio,149900,1,40.0,True,False,False,True,8.0,False,0.0,48,0,To be done up,2,False,Private,1050
11828,20306871,Kortrijk,Apartment,penthouse,400000,3,152.0,True,False,False,True,110.0,False,0.0,262,0,Good,2,False,Private,9620
11829,20306870,Brussels,Apartment,apartment,400000,3,152.0,True,False,False,True,110.0,False,0.0,262,0,Good,2,False,Private,1000
11830,20304816,Nivelles,Apartment,apartment,319000,3,100.0,True,False,False,True,4.0,False,0.0,104,0,Just renovated,2,False,Private,8400
11831,20065046,Hoeselt,Apartment,apartment-block,397000,3,470.0,True,False,False,False,0.0,False,0.0,470,0,Not Known,0,False,Private,6741
11832,20306845,Gent,House,house,525000,4,200.0,False,False,False,False,0.0,True,20.0,220,0,As new,3,True,Private,6820
11833,20306844,Morlanwelz,Apartment,apartment,239000,1,63.0,True,False,False,True,12.0,False,0.0,75,0,Good,2,True,Private,4020
11834,20293248,Morlanwelz,Other,loft,475000,3,400.0,True,False,False,False,0.0,False,0.0,400,0,Not Known,0,False,Private,4020
11835,20278236,Leuven,House,house,365000,6,160.0,False,False,False,True,30.0,False,0.0,190,0,Good,2,False,Private,8760
11836,20305898,Sintdenijswestrem,House,house,320000,3,125.0,True,False,False,True,15.0,True,30.0,170,120,As new,3,False,Private,8750
11837,20305201,Oostende,House,house,335000,3,170.0,False,False,False,False,0.0,False,0.0,170,243,Not Known,0,False,Private,2240
11838,20306575,Brakel,House,house,424000,4,145.0,False,False,False,True,0.0,False,0.0,145,150,As new,2,False,Private,6990
11839,20303724,Wevelgem,House,house,450000,4,261.0,True,False,False,True,15.0,False,0.0,276,170,Good,2,False,Private,2861
11840,20305197,Deurne,House,house,475000,3,170.0,True,False,False,True,0.0,False,0.0,170,351,As new,3,True,Private,2100
11841,20308036,Gent,House,house,930000,3,244.0,True,False,False,False,0.0,True,658.0,902,816,As new,0,True,Private,2500
11842,20306139,Laken,House,house,1095000,4,330.0,True,False,False,True,1.0,True,1.0,332,660,As new,2,True,Private,1020
11843,20286685,Balen,House,house,195000,3,101.0,False,False,False,False,0.0,False,0.0,101,544,To renovate,3,False,Private,9230
11844,20287735,Kontich,House,house,230000,4,146.0,True,False,False,False,0.0,True,331.0,477,331,Good,0,False,Private,1140
11845,20288869,Gent,House,house,285000,3,162.0,True,False,False,False,0.0,False,0.0,162,387,To be done up,0,False,Private,9800
11846,20290755,Uccle,House,house,299000,2,155.0,True,False,False,False,0.0,False,0.0,155,271,To renovate,0,False,Private,1180
11847,20290335,Arlon,House,house,553000,4,209.0,True,False,False,True,0.0,False,0.0,209,23503,Good,3,False,Private,1630
11848,20289100,Gent,Apartment,apartment,235000,2,130.0,True,False,False,False,0.0,False,0.0,130,0,To be done up,2,True,Private,3945
11849,20290942,Leuven,Apartment,apartment,235000,1,50.0,True,False,False,False,0.0,False,0.0,50,0,Good,0,False,Private,9880
11850,20290952,Roeselare,Apartment,duplex,255000,2,123.0,True,False,False,True,0.0,False,0.0,123,0,Not Known,0,False,Private,2470
11851,20291719,Oostende,Apartment,duplex,335000,2,90.0,True,False,False,False,0.0,False,0.0,90,0,As new,2,True,Private,8300
11852,20291735,Oostende,Apartment,duplex,365000,2,75.0,True,False,False,True,0.0,False,0.0,75,0,Just renovated,2,False,Private,8300
