id,locality,p_type,sub_type,price,bedrooms,living_area,equip_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,surface of the plot,state,facades,swim_pool
11098828,vorselaar,house,house,499000,3,151,0,0,0,1,,0,,151,478,,0,0
10340537,vorselaar,house,house,494000,3,149,0,0,0,1,,0,,149,454,Good,0,0
10346186,vorselaar,house,house,495000,3,149,0,0,0,1,,0,,149,456,Good,0,0
10340536,vorselaar,house,house,495000,3,149,0,0,0,1,,0,,149,459,Good,0,0
10340535,vorselaar,house,house,496000,3,149,0,0,0,1,,0,,149,464,Good,0,0
10340538,vorselaar,house,house,499000,3,149,0,0,0,1,,0,,149,511,Good,0,0
10811502,bruxelles,apartment,penthouse,495000,1,103,1,0,0,1,60,0,,163,0,As new,2,1
20156645,woluwe-saint-lambert,apartment,apartment,495000,2,95,1,0,0,1,14,0,,109,0,As new,2,1
20156648,woluwe-saint-lambert,apartment,ground-floor,509000,2,114,1,0,0,1,12,1,36,162,0,As new,2,1
20156649,woluwe-saint-lambert,apartment,apartment,584000,2,121,1,0,0,1,11,0,,132,0,As new,2,1
20156643,woluwe-saint-lambert,apartment,penthouse,1449000,4,250,1,0,0,1,35,0,,285,0,As new,2,1
10822945,lille,house,house,495000,3,187,0,0,0,0,,0,,187,496,,0,0
10822941,lille,house,house,496000,3,192,0,0,0,0,,0,,192,595,,0,0
10822942,lille,house,house,498000,3,187,0,0,0,0,,0,,187,624,,0,0
10822947,lille,house,house,501000,3,187,0,0,0,0,,0,,187,505,,0,0
10822946,lille,house,house,501000,3,192,0,0,0,0,,0,,192,507,,0,0
10822943,lille,house,house,502000,3,188,0,0,0,0,,0,,188,654,,0,0
20029401,crisn%C3%A9e,house,house,495000,3,148,0,0,0,1,38,0,,186,505,As new,4,0
20029397,crisn%C3%A9e,house,house,499000,3,154,0,0,0,1,39,0,,193,795,As new,4,0
20029403,crisn%C3%A9e,house,house,515000,3,174,0,0,0,1,38,0,,212,435,As new,4,0
20029393,crisn%C3%A9e,house,house,515000,3,176,0,0,0,1,41,0,,217,480,As new,4,0
20029400,crisn%C3%A9e,house,house,520000,3,187,0,0,0,1,38,0,,225,535,As new,4,0
20029391,crisn%C3%A9e,house,house,525000,3,177,0,0,0,1,36,0,,213,680,As new,4,0
20228400,desselgem,house,house,495000,5,205,0,0,0,0,,1,275,480,275,Good,4,0
20228402,desselgem,house,house,495000,5,205,0,0,0,0,,1,275,480,275,As new,3,0
20228401,desselgem,house,house,595000,5,240,0,0,0,0,,1,420,660,420,As new,4,0
20209602,tongerlo,house,house,497400,3,203,0,0,0,1,16,0,,219,491,,3,0
20209601,tongerlo,house,house,499000,3,214,0,0,0,1,16,0,,230,436,,3,0
20102380,minderhout,house,house,499000,5,189,1,0,0,0,,0,,189,163,,3,0
20102382,minderhout,house,house,549000,4,187,1,0,0,0,,0,,187,165,,3,0
20057259,trooz,house,house,499000,3,174,0,0,0,1,16,1,287,477,573,As new,3,1
20303808,geraardsbergen,house,house,359000,3,177,1,0,0,1,,0,,177,366,,0,0
20303797,geraardsbergen,house,house,364000,3,177,1,0,0,1,,0,,177,451,,0,0
20303805,geraardsbergen,house,house,379000,3,177,0,0,0,1,,0,,177,572,,0,0
20303767,melsele,house,house,419275,3,,0,0,0,0,,0,,0,130,As new,0,0
20303783,melsele,house,house,439275,3,,0,0,0,0,,0,,0,121,As new,0,0
20303784,melsele,house,house,439275,3,,0,0,0,0,,0,,0,122,As new,0,0
20303796,melsele,house,house,460886,3,,0,0,0,0,,0,,0,123,As new,0,0
20303768,melsele,house,house,460886,3,,0,0,0,0,,0,,0,126,As new,0,0
20303446,buggenhout,house,house,437427,4,,0,0,0,1,,0,,0,500,,3,0
20303447,buggenhout,house,house,481593,4,,0,0,0,1,,0,,0,990,,3,0
20303413,lier,apartment,apartment,269103,1,61,1,0,0,1,8,0,,69,0,As new,0,0
