Id,Locality,Type,SubType,Price,Sale_Type,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool
20294193,Esneux,Apartment,flat-studio,130000,Private,0,30,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,30,0,Not Known,0,FALSE
20294197,Deurne,House,house,265000,Private,3,129,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,129,150,Not Known,0,FALSE
20294195,Mons,House,house,138000,Private,2,101,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,101,540,Not Known,0,FALSE
20294191,Mons,House,house,270000,Private,3,130,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,130,140,Good,0,FALSE
20294186,De Klinge,House,house,325000,Private,5,216,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,216,396,Good,0,FALSE
20294182,Meulebeke,House,house,417000,Private,3,163,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,163,849,Just renovated,0,FALSE
20294176,Bierghes,House,house,550000,Private,5,296,FALSE,FALSE,FALSE,TRUE,30,FALSE,0,326,1671,Good,4,FALSE
20294175,Ath,Apartment,apartment,1250000,Private,3,110,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,110,0,Good,2,FALSE
20294174,Knokke,Apartment,apartment,1250000,Private,3,110,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,110,0,Good,2,FALSE
20294169,Alsemberg,House,exceptional-property,699000,Private,4,222,TRUE,FALSE,FALSE,TRUE,100,FALSE,0,322,7973,As new,3,TRUE
20294166,Gistel,House,house,119500,Private,4,80,TRUE,FALSE,FALSE,TRUE,15,TRUE,150,245,220,To renovate,3,TRUE
20294163,Anderlecht,House,house,325000,Private,3,186,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,186,0,Good,2,FALSE
20294162,Neerpelt,House,house,495000,Private,4,150,FALSE,FALSE,FALSE,TRUE,20,FALSE,0,170,292,As new,3,FALSE
20294159,Cour-Sur-Heure,House,house,365000,Private,2,121,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,121,105,As new,2,FALSE
20294154,Acoz,House,house,465000,Private,4,186,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,186,555,Just renovated,3,FALSE
20294152,Haacht,House,house,155000,Private,2,100,TRUE,FALSE,TRUE,TRUE,18,TRUE,42,160,0,Good,2,FALSE
20294147,Anderlecht,Apartment,apartment-block,450000,Private,4,273,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,273,221,To be done up,2,FALSE
20294145,Brugge,Apartment,apartment,160000,Private,1,67,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,67,0,As new,2,FALSE
20298327,Dudzele,House,house,445000,Private,3,247,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,247,615,Not Known,4,FALSE
20299562,Brugge,House,house,995000,Private,5,453,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,453,6700,Not Known,4,TRUE
20279096,Fléron,House,house,78000,Private,1,55,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,55,38,To renovate,2,FALSE
20268805,Arsimont,House,house,130000,Private,3,154,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,154,544,To renovate,3,FALSE
20199765,Oostende,House,house,155000,Private,1,107,TRUE,FALSE,FALSE,TRUE,10,FALSE,0,117,65,As new,2,TRUE
20279311,Bailièvre,House,house,175000,Private,2,144,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,144,530,To renovate,3,FALSE
20234143,Dourbes,House,house,175000,Private,3,119,FALSE,FALSE,FALSE,TRUE,50,TRUE,469,638,600,Good,3,FALSE
20269164,Antwerpen,House,mixed-use-building,180000,Private,1,123,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,123,71,Good,2,FALSE
20280787,Kemzeke,House,villa,195000,Private,3,139,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,139,1255,To renovate,4,FALSE
20260920,Oostende,House,house,195000,Private,3,145,FALSE,FALSE,FALSE,TRUE,80,FALSE,0,225,0,Good,3,FALSE
20237569,Arquennes,House,house,199000,Private,3,149,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,149,168,Good,2,FALSE
20210960,Pellenberg,House,house,199000,Private,2,86,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,86,91,Good,3,FALSE
20260803,Kortrijk,House,house,229000,Private,5,147,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,147,500,Good,0,FALSE
20239240,Aartselaar,House,house,230000,Private,3,191,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,191,101,To renovate,4,FALSE
20221941,Ransart,House,house,235000,Private,5,185,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,185,217,To restore,3,FALSE
20282470,Sint-genesius-rode,House,house,235000,Private,3,115,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,115,136,Good,2,FALSE
20278105,Sint-genesius-rode,House,house,239000,Private,4,200,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,200,160,Good,2,TRUE
20284832,Aalst,House,house,249000,Private,3,178,FALSE,FALSE,TRUE,FALSE,0,FALSE,0,178,0,To be done up,0,TRUE
20266096,Denderleeuw,House,house,259000,Private,3,198,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,198,181,Good,2,FALSE
20241909,Elsene,House,house,270000,Private,4,138,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,138,76,As new,2,FALSE
20234178,Haacht,House,mixed-use-building,275000,Private,6,250,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,250,160,To renovate,3,FALSE
20276100,Barchon,House,house,325000,Private,4,290,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,290,790,Good,0,FALSE
20246207,Andenne,House,mixed-use-building,330000,Private,4,279,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,279,76,Good,2,TRUE
20246732,Ave-Et-Auffe,House,villa,340000,Private,3,381,FALSE,FALSE,FALSE,TRUE,0,TRUE,3039,3420,3322,Good,4,TRUE
20246244,Aublain,House,villa,340000,Private,3,381,FALSE,FALSE,FALSE,TRUE,0,TRUE,3039,3420,3322,Good,4,TRUE
20245604,Harelbeke,House,mixed-use-building,349000,Private,5,289,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,289,79,Good,2,TRUE
20280694,Lessines,House,house,355000,Private,5,325,FALSE,FALSE,FALSE,TRUE,102,TRUE,604,1031,886,Good,4,FALSE
20199045,Castillon,House,house,375000,Private,3,135,TRUE,FALSE,FALSE,TRUE,0,TRUE,385,520,385,To be done up,3,FALSE
20269870,Amonines,House,house,375000,Private,4,164,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,164,967,To renovate,4,FALSE
20157785,Montegnée,House,house,395000,Private,5,220,TRUE,FALSE,TRUE,TRUE,10,TRUE,200,430,244,To renovate,2,TRUE
20293634,Affligem,Apartment,apartment,378650,Private,2,126,TRUE,FALSE,FALSE,TRUE,11,FALSE,0,137,0,As new,4,FALSE
20293622,Boncelles,Apartment,ground-floor,273700,Private,1,76,TRUE,FALSE,FALSE,TRUE,10,FALSE,0,86,0,As new,4,TRUE
20293618,Romsée,Apartment,apartment,382150,Private,3,126,TRUE,FALSE,FALSE,TRUE,11,FALSE,0,137,0,As new,4,FALSE
20293686,Arville,Apartment,apartment,284200,Private,1,76,TRUE,FALSE,FALSE,TRUE,11,FALSE,0,87,0,As new,4,FALSE
20293616,Assenede,Apartment,ground-floor,273700,Private,1,76,TRUE,FALSE,FALSE,TRUE,11,FALSE,0,87,0,As new,4,FALSE
20293614,Bornem,Apartment,apartment,382500,Private,3,111,TRUE,FALSE,FALSE,TRUE,10,FALSE,0,121,0,As new,4,TRUE
20293615,Mont-Sur-Marchienne,Apartment,apartment,382500,Private,3,112,TRUE,FALSE,FALSE,TRUE,10,FALSE,0,122,0,As new,4,TRUE
20293613,Athus,Apartment,ground-floor,352510,Private,2,111,TRUE,FALSE,FALSE,TRUE,10,FALSE,0,121,0,As new,4,TRUE
20293605,Oostende,House,house,535000,Private,3,178,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,178,555,Not Known,4,TRUE
20293575,Appels,Apartment,apartment,399000,Private,2,50,TRUE,TRUE,FALSE,TRUE,15,FALSE,0,65,0,As new,0,TRUE
20291651,Athus,House,house,850000,Private,1,600,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,600,0,Good,0,FALSE
20293567,Jemeppe-Sur-Meuse,House,mixed-use-building,475000,Private,2,0,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,0,216,Just renovated,0,FALSE
20293565,Lessines,Apartment,apartment,249000,Private,1,75,FALSE,FALSE,FALSE,TRUE,2,FALSE,0,77,0,Just renovated,2,FALSE
20185924,Lessines,House,house,249000,Private,2,189,TRUE,FALSE,FALSE,TRUE,92,TRUE,332,613,500,Good,3,FALSE
20064442,Angleur,House,house,249000,Private,4,233,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,233,205,Not Known,2,FALSE
11157562,Chevron,House,mixed-use-building,249000,Private,3,127,FALSE,FALSE,FALSE,TRUE,8,TRUE,23,158,87,Good,2,FALSE
11157561,Sohier,House,mixed-use-building,249000,Private,3,144,FALSE,FALSE,FALSE,FALSE,0,TRUE,18,162,92,To be done up,2,FALSE
20240355,Deerlijk,House,house,249000,Private,3,125,FALSE,FALSE,FALSE,TRUE,20,FALSE,0,145,60,Good,1,FALSE
20058525,Bressoux,House,house,249900,Private,2,140,TRUE,FALSE,FALSE,TRUE,50,TRUE,1000,1190,1170,Good,3,TRUE
20051811,Bressoux,House,house,250000,Private,3,176,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,176,1016,Not Known,4,FALSE
11446930,Clermont-Sous-Huy,House,house,250000,Private,3,156,FALSE,FALSE,FALSE,TRUE,16,FALSE,0,172,84,To be done up,2,FALSE
11452967,Kapellen,House,house,255000,Private,3,174,FALSE,FALSE,FALSE,FALSE,0,TRUE,256,430,340,To renovate,4,FALSE
20127427,Blaton,House,mansion,258000,Private,4,170,FALSE,FALSE,FALSE,TRUE,20,TRUE,20,210,100,To restore,0,FALSE
11366791,Colfontaine,House,house,259000,Private,3,189,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,189,130,Good,2,FALSE
20163495,Aubechies,House,house,259000,Private,3,141,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,141,102,Not Known,3,FALSE
20128671,Colfontaine,House,house,269000,Private,3,151,TRUE,FALSE,FALSE,TRUE,64,FALSE,0,215,160,As new,2,FALSE
20210953,Baugnies,Other,chalet,269000,Private,1,50,TRUE,FALSE,FALSE,TRUE,23,TRUE,915,988,965,As new,4,FALSE
20210952,Barvaux-Sur-Ourthe,Other,chalet,269000,Private,1,50,TRUE,FALSE,FALSE,TRUE,23,TRUE,915,988,965,As new,4,FALSE
20062841,Burcht,House,house,275000,Private,5,392,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,392,4597,Not Known,4,FALSE
20142783,Oudergem,House,house,275000,Private,4,157,FALSE,FALSE,FALSE,TRUE,0,TRUE,312,469,460,To be done up,3,FALSE
20221214,Oudergem,House,house,278000,Private,5,224,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,224,1322,To be done up,3,FALSE
20154356,Berneau,House,house,279000,Private,3,182,FALSE,FALSE,FALSE,TRUE,0,TRUE,142,324,230,Good,2,FALSE
20096262,Gent,House,house,285000,Private,1,35,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,35,35,Good,0,FALSE
10443984,Ledegem,House,house,289000,Private,4,169,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,169,0,Good,2,FALSE
20005929,Ben-Ahin,House,house,289000,Private,6,230,TRUE,FALSE,FALSE,TRUE,40,TRUE,200,470,380,Good,2,TRUE
20035231,Bellefontaine,House,house,290000,Private,3,201,TRUE,FALSE,FALSE,TRUE,38,TRUE,214,453,388,Good,2,TRUE
10687012,Bellefontaine,House,house,295000,Private,4,210,FALSE,FALSE,TRUE,TRUE,40,TRUE,443,693,443,Good,0,FALSE
11200115,Bellefontaine,House,mixed-use-building,295000,Private,1,152,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,152,100,Good,2,FALSE
11396600,Bellefontaine,House,house,295000,Private,2,178,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,178,445,Not Known,0,FALSE
11489099,Brussel,House,house,295000,Private,3,158,FALSE,FALSE,FALSE,TRUE,10,FALSE,0,168,166,Good,0,FALSE
11407375,Colfontaine,House,house,295000,Private,4,225,FALSE,FALSE,FALSE,TRUE,60,TRUE,600,885,600,Good,3,TRUE
20044553,Esneux,House,house,295000,Private,3,212,TRUE,FALSE,FALSE,TRUE,0,TRUE,1000,1212,1036,To renovate,4,FALSE
20235772,Oudergem,House,house,295000,Private,3,170,FALSE,FALSE,FALSE,FALSE,0,TRUE,115,285,250,Good,2,TRUE
20241874,Strombeek-Bever,House,house,275000,Private,2,142,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,142,434,Not Known,3,FALSE
20293279,Bettincourt,House,house,990000,Private,3,0,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,0,815,Good,4,TRUE
20293278,Chaussée-Notre-Dame-Louvignies,Apartment,apartment,149000,Private,2,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,Good,2,FALSE
